Record#,tag,light status,distance,top_red,top_green,top_blue,top_distance,mid_red,mid_green,mid_blue,mid_distance,bottom_red,bottom_green,bottom_blue,bottom_distance
1,No Rings,On,8190.0,0.0066,0.0117,0.0073,152.4000,0.0014,0.0018,0.0014,98.0695,0.0098,0.0181,0.0151,110.4968
2,No Rings,On,8190.0,0.0066,0.0117,0.0073,152.4000,0.0014,0.0018,0.0014,100.8660,0.0098,0.0181,0.0151,108.7451
3,No Rings,On,8190.0,0.0066,0.0117,0.0073,132.4965,0.0014,0.0018,0.0014,95.4463,0.0098,0.0181,0.0151,114.2047
4,No Rings,On,8190.0,0.0066,0.0117,0.0073,152.4000,0.0014,0.0018,0.0014,96.7373,0.0098,0.0181,0.0151,110.4968
5,No Rings,On,8190.0,0.0066,0.0117,0.0073,144.5149,0.0014,0.0018,0.0014,95.4463,0.0098,0.0181,0.0151,112.3153
6,No Rings,On,8190.0,0.0066,0.0117,0.0073,144.5149,0.0011,0.0016,0.0009,92.9802,0.0098,0.0181,0.0151,120.3444
7,No Rings,On,8190.0,0.0066,0.0117,0.0073,151.5366,0.0014,0.0018,0.0014,98.0695,0.0098,0.0181,0.0151,114.2047
8,No Rings,On,8190.0,0.0066,0.0117,0.0073,152.4000,0.0014,0.0018,0.0014,92.9802,0.0098,0.0181,0.0151,120.3444
9,No Rings,On,8190.0,0.0066,0.0117,0.0073,141.2778,0.0014,0.0018,0.0014,100.8660,0.0098,0.0181,0.0151,112.3153
10,No Rings,On,8190.0,0.0064,0.0117,0.0073,152.4000,0.0014,0.0018,0.0014,95.4463,0.0098,0.0181,0.0151,103.8545
11,No Rings,On,8190.0,0.0066,0.0117,0.0073,152.4000,0.0011,0.0016,0.0009,89.5447,0.0098,0.0181,0.0151,110.4968
12,No Rings,On,8190.0,0.0066,0.0117,0.0073,151.5366,0.0011,0.0016,0.0009,99.4450,0.0098,0.0181,0.0151,100.8660
13,No Rings,On,8190.0,0.0066,0.0117,0.0073,138.2038,0.0014,0.0018,0.0014,91.8015,0.0098,0.0181,0.0151,114.2047
14,No Rings,On,8190.0,0.0066,0.0117,0.0073,144.5149,0.0014,0.0018,0.0014,105.4273,0.0098,0.0181,0.0151,110.4968
15,No Rings,On,8190.0,0.0066,0.0117,0.0073,151.5366,0.0014,0.0018,0.0014,96.7373,0.0098,0.0181,0.0151,114.2047
16,No Rings,On,8190.0,0.0064,0.0117,0.0073,147.9293,0.0014,0.0018,0.0014,92.9802,0.0098,0.0181,0.0151,107.0564
17,No Rings,On,8190.0,0.0064,0.0114,0.0073,144.5149,0.0009,0.0016,0.0009,98.0695,0.0098,0.0181,0.0151,118.2142
18,No Rings,On,239.0,0.0064,0.0114,0.0073,144.5149,0.0011,0.0016,0.0014,96.7373,0.0096,0.0181,0.0151,103.8545
19,No Rings,On,8190.0,0.0064,0.0114,0.0073,152.4000,0.0011,0.0016,0.0014,89.5447,0.0094,0.0181,0.0149,108.7451
20,No Rings,On,8190.0,0.0064,0.0114,0.0073,152.4000,0.0009,0.0014,0.0009,92.9802,0.0096,0.0181,0.0149,108.7451
21,No Rings,On,8190.0,0.0062,0.0112,0.0073,152.4000,0.0007,0.0011,0.0009,96.7373,0.0094,0.0179,0.0149,116.1694
22,No Rings,On,8190.0,0.0060,0.0110,0.0071,152.4000,0.0007,0.0009,0.0009,100.8660,0.0094,0.0179,0.0149,107.0564
23,No Rings,On,8190.0,0.0060,0.0108,0.0071,152.4000,0.0005,0.0007,0.0007,92.9802,0.0092,0.0176,0.0149,110.4968
24,No Rings,On,8190.0,0.0060,0.0108,0.0071,152.4000,0.0005,0.0007,0.0007,102.3350,0.0092,0.0176,0.0149,116.1694
25,No Rings,On,8190.0,0.0057,0.0105,0.0066,147.9293,0.0005,0.0007,0.0007,91.8015,0.0092,0.0176,0.0149,110.4968
26,No Rings,On,8190.0,0.0060,0.0108,0.0071,152.4000,0.0005,0.0007,0.0007,98.0695,0.0092,0.0176,0.0149,112.3153
27,No Rings,On,8190.0,0.0060,0.0110,0.0071,144.5149,0.0007,0.0009,0.0009,94.1946,0.0092,0.0176,0.0149,116.1694
28,No Rings,On,8190.0,0.0062,0.0112,0.0073,147.9293,0.0007,0.0011,0.0009,94.1946,0.0092,0.0176,0.0149,118.2142
29,No Rings,On,8190.0,0.0062,0.0112,0.0073,138.2038,0.0009,0.0014,0.0009,96.7373,0.0096,0.0181,0.0149,108.7451
30,No Rings,On,8190.0,0.0062,0.0112,0.0073,152.4000,0.0009,0.0014,0.0009,92.9802,0.0096,0.0181,0.0149,108.7451
31,No Rings,On,8190.0,0.0062,0.0112,0.0073,152.4000,0.0009,0.0014,0.0009,95.4463,0.0094,0.0179,0.0149,112.3153
32,No Rings,On,8190.0,0.0064,0.0114,0.0073,144.5149,0.0011,0.0016,0.0014,91.8015,0.0096,0.0181,0.0151,108.7451
33,No Rings,On,8190.0,0.0064,0.0114,0.0073,138.2038,0.0011,0.0016,0.0014,95.4463,0.0096,0.0181,0.0149,114.2047
34,No Rings,On,8190.0,0.0064,0.0114,0.0073,147.9293,0.0011,0.0016,0.0014,91.8015,0.0098,0.0181,0.0151,118.2142
35,No Rings,On,8190.0,0.0064,0.0114,0.0073,144.5149,0.0009,0.0014,0.0009,92.9802,0.0098,0.0181,0.0151,110.4968
36,No Rings,On,8190.0,0.0064,0.0114,0.0073,151.5366,0.0011,0.0018,0.0014,90.6568,0.0098,0.0181,0.0151,118.2142
37,No Rings,On,8190.0,0.0064,0.0117,0.0073,141.2778,0.0014,0.0018,0.0014,94.1946,0.0098,0.0181,0.0151,112.3153
38,No Rings,On,8190.0,0.0064,0.0117,0.0073,152.4000,0.0014,0.0018,0.0014,96.7373,0.0098,0.0181,0.0151,107.0564
39,No Rings,On,8190.0,0.0064,0.0117,0.0073,152.4000,0.0014,0.0018,0.0014,92.9802,0.0098,0.0181,0.0151,114.2047
40,No Rings,On,8190.0,0.0064,0.0114,0.0073,152.4000,0.0014,0.0016,0.0009,89.5447,0.0096,0.0181,0.0149,108.7451
41,No Rings,On,8190.0,0.0064,0.0117,0.0073,152.4000,0.0014,0.0018,0.0014,102.3350,0.0098,0.0181,0.0151,108.7451
42,No Rings,On,8190.0,0.0064,0.0117,0.0073,144.5149,0.0014,0.0018,0.0014,98.0695,0.0098,0.0181,0.0151,105.4273
43,No Rings,On,8190.0,0.0064,0.0117,0.0073,147.9293,0.0014,0.0018,0.0014,98.0695,0.0098,0.0181,0.0151,114.2047
44,No Rings,On,8190.0,0.0064,0.0117,0.0073,147.9293,0.0014,0.0018,0.0014,94.1946,0.0096,0.0181,0.0149,108.7451
45,No Rings,On,8190.0,0.0064,0.0117,0.0073,147.9293,0.0014,0.0018,0.0014,95.4463,0.0098,0.0181,0.0151,114.2047
46,No Rings,On,8190.0,0.0064,0.0117,0.0073,151.5366,0.0014,0.0018,0.0014,100.8660,0.0098,0.0181,0.0151,112.3153
47,No Rings,On,8190.0,0.0062,0.0114,0.0071,144.5149,0.0014,0.0018,0.0014,94.1946,0.0098,0.0181,0.0151,120.3444
48,No Rings,On,8190.0,0.0064,0.0114,0.0073,151.5366,0.0014,0.0018,0.0014,98.0695,0.0098,0.0181,0.0151,103.8545
49,No Rings,On,8190.0,0.0064,0.0117,0.0073,151.5366,0.0014,0.0018,0.0014,98.0695,0.0098,0.0181,0.0151,116.1694
50,No Rings,On,8190.0,0.0064,0.0117,0.0073,152.4000,0.0014,0.0018,0.0014,92.9802,0.0098,0.0181,0.0151,118.2142
51,No Rings,On,8190.0,0.0064,0.0117,0.0073,144.5149,0.0014,0.0018,0.0014,96.7373,0.0098,0.0181,0.0151,107.0564
52,No Rings,On,8190.0,0.0064,0.0117,0.0073,147.9293,0.0014,0.0018,0.0014,98.0695,0.0098,0.0181,0.0151,108.7451
53,No Rings,On,8190.0,0.0064,0.0117,0.0073,147.9293,0.0011,0.0016,0.0009,92.9802,0.0098,0.0181,0.0151,112.3153
54,No Rings,On,8190.0,0.0064,0.0117,0.0073,152.4000,0.0014,0.0018,0.0014,100.8660,0.0098,0.0181,0.0151,110.4968
55,No Rings,On,8190.0,0.0064,0.0117,0.0073,152.4000,0.0014,0.0018,0.0014,91.8015,0.0098,0.0181,0.0151,110.4968
56,No Rings,On,8190.0,0.0064,0.0114,0.0073,138.2038,0.0014,0.0018,0.0014,94.1946,0.0098,0.0181,0.0151,112.3153
57,One Ring,On,8190.0,0.0071,0.0121,0.0073,138.2038,0.0018,0.0023,0.0014,90.6568,0.5740,0.5789,0.1751,6.3576
58,One Ring,On,344.0,0.0071,0.0119,0.0073,144.5149,0.0018,0.0023,0.0014,91.8015,0.5734,0.5786,0.1751,6.3576
59,One Ring,On,8190.0,0.0071,0.0121,0.0073,152.4000,0.0018,0.0023,0.0014,94.1946,0.5734,0.5782,0.1749,6.3576
60,One Ring,On,8190.0,0.0071,0.0121,0.0073,152.4000,0.0018,0.0023,0.0014,91.8015,0.5734,0.5782,0.1749,6.3576
61,One Ring,On,8190.0,0.0073,0.0121,0.0073,144.5149,0.0018,0.0023,0.0014,90.6568,0.5738,0.5786,0.1751,6.3576
62,One Ring,On,8190.0,0.0073,0.0121,0.0073,141.2778,0.0018,0.0023,0.0014,92.9802,0.5738,0.5784,0.1751,6.3576
63,One Ring,On,8190.0,0.0071,0.0119,0.0073,144.5149,0.0018,0.0023,0.0014,92.9802,0.5724,0.5775,0.1744,6.3576
